2/26/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
2/27/2024,"          FROM - *****01*1525 ",373.06
3/4/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
3/8/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-2.81
3/10/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
3/12/2024,"UBER CANADA/UBEREATS     TORONTO      ON  (APPLE PAY) ",-24.53
3/14/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
3/17/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-4.51
3/18/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-3.38
3/19/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-21.73
3/22/2024,"          FROM - *****01*1525 ",136.55
3/23/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-2.81
3/25/2024,"FREEDOM MOBILE           877-946-3184 ON ",-64.08
3/25/2024,"          FROM - *****01*1525 ",66.89
3/26/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-28.53
3/31/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
4/7/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
4/14/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
4/17/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-4.51
4/18/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-3.38
4/19/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-21.73
4/21/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
4/22/2024,"          FROM - *****01*1525 ",164.27
4/23/2024,"FREEDOM MOBILE           877-946-3184 ON ",-64.07
4/23/2024,"FREEDOM MOBILE           877-946-3184 ON ",-94.92
4/24/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
4/24/2024,"HAIR JOY                 SCARBOROUGH  ON  (APPLE PAY) ",-18.95
4/25/2024,"DOLLARAMA # 759          TORONTO      ON  (APPLE PAY) ",-1.70
4/25/2024,"          FROM - *****01*1525 ",175.00
4/25/2024,"ALBAAQI SUPERMARKET      SCARBOROUGH  ON  (APPLE PAY) ",-3.29
4/26/2024,"TIM HORTONS #1809        SCARBOROUGH  ON  (APPLE PAY) ",-2.40
4/28/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
5/1/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
5/2/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-2.81
5/9/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-21.73
5/14/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
5/16/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-28.53
5/16/2024,"APPLE.COM/BILL           TORONTO      ON  (APPLE PAY) ",-4.51
5/18/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-3.38
5/21/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
5/24/2024,"FREEDOM MOBILE           877-946-3184 ON ",-61.06
5/24/2024,"TORONTO INTERNATIONAL    TORONTO      ON  (APPLE PAY) ",-5.00
5/24/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
5/26/2024,"PIZZA PIZZA # 6          TORONTO      ON  (APPLE PAY) ",-3.66
5/28/2024,"DOORDASHTHEMOMOSTAT      DOWNTOWN TOROON  (APPLE PAY) ",-21.66
5/30/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-21.73
5/31/2024," SCOTIABANK TRANSIT 91272 TORONTO      ON ",10.00
6/3/2024,"          FROM - *****01*1525 ",333.58
6/7/2024,"A & W #4490              TORONTO      ON  (APPLE PAY) ",-9.02
6/9/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
6/12/2024,"INTEREST CHARGES-PURCHASE ",-2.12
6/14/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
6/16/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-4.51
6/18/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-3.38
6/19/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
6/24/2024,"FREEDOM MOBILE           877-946-3184 ON ",-51.64
6/24/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
6/29/2024,"          FROM - *****01*1525 ",176.79
7/2/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-21.73
7/5/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
7/9/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
7/12/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
7/13/2024,"DOLLARAMA # 759          TORONTO      ON  (APPLE PAY) ",-5.93
7/13/2024,"ALBAAQI SUPERMARKET      SCARBOROUGH  ON  (APPLE PAY) ",-10.87
7/13/2024,"GIANT TIGER #159         SCARBOROUGH  ON  (APPLE PAY) ",-36.09
7/15/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
7/16/2024,"          FROM - *****01*1525 ",190.74
7/16/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-4.51
7/17/2024,"VALUE BUDS FINCHDALE P   NORTH YORK   ON  (APPLE PAY) ",-21.40
7/18/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-3.38
7/19/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-20.33
7/24/2024,"FREEDOM MOBILE           877-946-3184 ON ",-51.65
7/24/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-25.13
7/27/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-25.13
7/30/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-26.53
8/1/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-25.13
8/4/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-20.58
8/12/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-25.13
8/16/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-4.51
8/18/2024,"APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ",-3.38
8/19/2024,"          FROM - *****01*1525 ",271.92
8/20/2024,"PIZZA PIZZA LTD          TORONTO      ON ",-25.13
8/23/2024,"DOORDASHCHEFFYSTHE       DOWNTOWN TOROON  (APPLE PAY) ",-24.05
8/24/2024,"FREEDOM MOBILE           877-946-3184 ON ",-51.64
8/26/2024,"          FROM - *****01*1525 ",75.69
